,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
177,1383369,0.68,False,Westerpark,52.38,4.867,Entire home/apt,3,2,1,1,100.0,4,500,True,5,2,4.75,False,33.34,400.0,0.08,0.16,0.17,4.99,0.0136986301369863,510.958904109589
178,1383494,0.29,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,2,1,1,8,60.0,30,31,True,0,0,4.71,False,30.0,1800.0,0.05,0.11,0.16,2.99,0.4246575342465753,443.3013698630137
179,1394668,0.9,False,De Baarsjes - Oud-West,52.38,4.85,Private room,2,1,2,5,88.0,3,7,True,0,5,4.9,False,44.0,264.0,0.06,0.11,0.15,4.99,0.0,439.24657534246575
180,1397317,0.9299999999999999,False,De Pijp - Rivierenbuurt,52.34,4.906,Entire home/apt,4,2,2,10,186.0,3,19,True,1,0,4.85,False,46.5,558.0,0.1,0.14,0.19,4.99,0.021917808219178082,1276.041095890411
181,1408035,0.67,False,De Aker - Nieuw Sloten,52.34,4.805,Shared room,1,1,3,4,50.0,3,3,True,0,0,4.2,False,50.0,150.0,0.05,0.12,0.16,2.99,0.0,250.0
182,1427610,0.67,False,Geuzenveld - Slotermeer,52.38,4.805,Entire home/apt,4,2,2,7,100.0,5,1125,True,0,0,5.0,False,25.0,500.0,0.05,0.14,0.15,4.99,0.01643835616438356,622.4794520547945
183,1447217,1.0,True,Bos en Lommer,52.38,4.848,Private room,2,1,1,2,51.0,4,100,True,0,4,4.72,True,25.5,204.0,0.06,0.07,0.14,2.99,0.336986301369863,317.1095890410959
184,1468473,1.0,False,Bos en Lommer,52.38,4.85,Entire home/apt,2,1,1,8,120.0,3,90,True,1,0,4.56,True,60.0,360.0,0.06,0.15,0.12,4.99,0.43561643835616437,575.7534246575342
185,1511360,0.6,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,9,155.0,2,14,True,0,1,4.72,False,77.5,310.0,0.08,0.12,0.2,4.99,0.0851063829787234,778.7234042553191
186,1514368,0.74,True,Centrum-Oost,52.38,4.895,Private room,4,1,2,14,282.0,3,30,True,1,2,4.8,True,70.5,846.0,0.13,0.07,0.29,4.99,0.29310344827586204,1526.7241379310344
